session_id,customer_id,started_at,intent,resolved,escalated,satisfaction_score,channel
S1001,C001,2026-03-01 09:12:00,Billing,TRUE,FALSE,5,Web
S1002,C002,2026-03-01 10:04:00,billing,FALSE,TRUE,2,Web
S1003,C003,2026-03-01 11:31:00,Internet Issue,FALSE,TRUE,1,Mobile
S1004,C004,2026-03-02 08:18:00,Account Access,TRUE,FALSE,4,Web
S1005,C005,2026-03-02 10:45:00,BILLING,TRUE,FALSE,,Mobile
S1006,C006,2026-03-02 14:11:00,Internet Issue,FALSE,TRUE,2,Mobile
S1007,C007,2026-03-03 09:03:00,Cancellation,FALSE,TRUE,3,Web
S1008,C008,2026-03-03 12:44:00,account access,TRUE,FALSE,5,WEB
S1009,C999,2026-03-03 13:09:00,Billing,FALSE,TRUE,2,Web
S1010,C009,2026-03-04 16:30:00,Internet Issue,TRUE,FALSE,6,Mobile
S1010,C009,2026-03-04 16:30:00,Internet Issue,TRUE,FALSE,6,Mobile
S1011,C010,not-a-date,Billing,TRUE,FALSE,4,Web
S1012,C011,2026-03-05 09:20:00,Payment Arrangement,FALSE,TRUE,1,Mobile
S1013,C012,2026-03-05 11:10:00,Tech Support,FALSE,TRUE,2,Web
S1014,C003,2026-03-06 08:05:00,Internet Issue,TRUE,FALSE,4,Mobile
